BUY: $100.00 of BTC at $90000.00 on 01-01-2025|08:00. Quantity: 0.001111 BTC
BUY: $0.00 of BTC at $77651.00 on 02-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $75321.00 on 02-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $77580.00 on 02-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $75252.00 on 02-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $72994.00 on 03-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $75183.00 on 03-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $72927.00 on 03-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $70739.00 on 03-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68616.00 on 03-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $66557.00 on 03-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68553.00 on 04-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $66496.00 on 04-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68490.00 on 04-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $70544.00 on 04-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $72660.00 on 04-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74839.00 on 04-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $72593.00 on 05-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74770.00 on 05-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $77013.00 on 05-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74702.00 on 05-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $76943.00 on 05-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74634.00 on 05-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $76873.00 on 06-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $74566.00 on 06-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $72329.00 on 06-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $70159.00 on 06-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $68054.00 on 06-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $66012.00 on 06-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64031.00 on 07-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $65951.00 on 07-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67929.00 on 07-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $65891.00 on 07-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67867.00 on 07-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $69903.00 on 07-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $72000.00 on 08-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $69840.00 on 08-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $71935.00 on 08-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $69776.00 on 08-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67682.00 on 08-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $65651.00 on 08-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67620.00 on 09-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $65591.00 on 09-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $67558.00 on 09-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $65531.00 on 09-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $63565.00 on 09-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61658.00 on 09-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59808.00 on 10-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58013.00 on 10-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56272.00 on 10-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57960.00 on 10-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59698.00 on 10-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61488.00 on 10-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $63332.00 on 11-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61432.00 on 11-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $63274.00 on 11-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $61375.00 on 11-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $59533.00 on 11-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57747.00 on 11-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56014.00 on 12-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57694.00 on 12-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55963.00 on 12-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57641.00 on 12-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55911.00 on 12-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57588.00 on 12-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55860.00 on 13-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54184.00 on 13-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52558.00 on 13-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54134.00 on 13-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52509.00 on 13-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54084.00 on 13-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55706.00 on 14-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57377.00 on 14-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55655.00 on 14-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53985.00 on 14-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52365.00 on 14-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53935.00 on 14-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55553.00 on 15-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57219.00 on 15-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55502.00 on 15-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53836.00 on 15-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55451.00 on 15-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53787.00 on 15-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52173.00 on 16-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53738.00 on 16-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52125.00 on 16-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53688.00 on 16-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52077.00 on 16-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50514.00 on 16-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48998.00 on 17-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50467.00 on 17-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48952.00 on 17-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47483.00 on 17-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48907.00 on 17-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47439.00 on 17-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46015.00 on 18-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47395.00 on 18-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48816.00 on 18-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47351.00 on 18-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45930.00 on 18-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44552.00 on 18-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $43215.00 on 19-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44511.00 on 19-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45846.00 on 19-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47221.00 on 19-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48637.00 on 19-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50096.00 on 19-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48593.00 on 20-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50050.00 on 20-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51551.00 on 20-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50004.00 on 20-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48503.00 on 20-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47047.00 on 20-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45635.00 on 21-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44265.00 on 21-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $42937.00 on 21-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44225.00 on 21-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45551.00 on 21-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46917.00 on 21-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $45509.00 on 22-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46874.00 on 22-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48280.00 on 22-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49728.00 on 22-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51219.00 on 22-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52755.00 on 22-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51172.00 on 23-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52707.00 on 23-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54288.00 on 23-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52659.00 on 23-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54238.00 on 23-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55865.00 on 23-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54189.00 on 24-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52563.00 on 24-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50986.00 on 24-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49456.00 on 24-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50939.00 on 24-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49410.00 on 24-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47927.00 on 25-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49364.00 on 25-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50844.00 on 25-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52369.00 on 25-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53940.00 on 25-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52321.00 on 25-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53890.00 on 26-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55506.00 on 26-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $57171.00 on 26-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58886.00 on 26-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60652.00 on 26-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62471.00 on 26-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64345.00 on 27-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62414.00 on 27-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $64286.00 on 27-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $62357.00 on 27-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60486.00 on 27-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58671.00 on 27-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56910.00 on 28-02-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58617.00 on 28-02-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $60375.00 on 28-02-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $58563.00 on 28-02-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56806.00 on 28-02-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $55101.00 on 28-02-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53447.00 on 01-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51843.00 on 01-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50287.00 on 01-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51795.00 on 01-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53348.00 on 01-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54948.00 on 01-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $56596.00 on 02-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54898.00 on 02-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $53251.00 on 02-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51653.00 on 02-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50103.00 on 02-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48599.00 on 02-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50056.00 on 03-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51557.00 on 03-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50010.00 on 03-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48509.00 on 03-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49964.00 on 03-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51462.00 on 03-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49918.00 on 04-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51415.00 on 04-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49872.00 on 04-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51368.00 on 04-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52909.00 on 04-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54496.00 on 04-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52861.00 on 05-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $54446.00 on 05-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52812.00 on 05-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51227.00 on 05-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52763.00 on 05-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51180.00 on 05-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52715.00 on 06-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51133.00 on 06-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49599.00 on 06-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51086.00 on 06-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $52618.00 on 06-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $51039.00 on 06-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49507.00 on 07-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $48021.00 on 07-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49461.00 on 07-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50944.00 on 07-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49415.00 on 07-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47932.00 on 07-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46494.00 on 08-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47888.00 on 08-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49324.00 on 08-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $50803.00 on 08-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49278.00 on 08-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47799.00 on 08-03-2025|20:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $49232.00 on 09-03-2025|00:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47755.00 on 09-03-2025|04:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46322.00 on 09-03-2025|08:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $44932.00 on 09-03-2025|12:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $46279.00 on 09-03-2025|16:00. Quantity: 0.000000 BTC
BUY: $0.00 of BTC at $47667.00 on 09-03-2025|20:00. Quantity: 0.000000 BTC
